"titulo","autor","path"
"V. I. Lenin. - Materialismo y e - ()","()","()/V. I. Lenin. - Materialismo y e - () (72)"
"El maestro de esgrima","Arturo Perez-Reverte","Arturo Perez-Reverte/El maestro de esgrima (84)"
"Fundacion 7 - Hacia La Fundacion","Asimov, Isaac","Asimov, Isaac/Fundacion 7 - Hacia La Fundacion (78)"
"El Laberinto Magico 05 - Campo del M","Aub, Max","Aub, Max/El Laberinto Magico 05 - Campo del M (86)"
"El misterio de la Vigen de Guadalupe","Benitez, J. J","Benitez, J. J/El misterio de la Vigen de Guadalupe (83)"
"Dracula","Bram Stoker","Bram Stoker/Dracula (89)"
"El ladron de tumbas","Cabanas, Antonio","Cabanas, Antonio/El ladron de tumbas (85)"
"El enigma del cuatro","Caldwell y Thomason","Caldwell y Thomason/El enigma del cuatro (87)"
"Nuevo viaje a la Alcarria","Camilo Jose Cela","Camilo Jose Cela/Nuevo viaje a la Alcarria (74)"
"Lo que esconde tu nombre","Clara Sanchez","Clara Sanchez/Lo que esconde tu nombre (75)"
"Cerebro","Cook, Robin","Cook, Robin/Cerebro (71)"
"Dra Scarpetta 15 - El libro de los m","Cornwell, Patricia D_","Cornwell, Patricia D_/Dra Scarpetta 15 - El libro de los m (91)"
"La Cosecha del Centauro","Eduardo Gallego y Guillem Sanchez","Eduardo Gallego y Guillem Sanchez/La Cosecha del Centauro (76)"
"El negociador","Frederick Forsyth","Frederick Forsyth/El negociador (81)"
"Habitaciones separadas","Garcia Montero, Luis","Garcia Montero, Luis/Habitaciones separadas (77)"
"El contador de arena","Gillian Bradshaw","Gillian Bradshaw/El contador de arena (88)"
"Tokio Blues","Haruki Murakami","Haruki Murakami/Tokio Blues (73)"
"Cross","James Patterson","James Patterson/Cross (90)"
"El Ultimo Don","Mario Puzo","Mario Puzo/El Ultimo Don (79)"
"Ciudad de huesos","Michael Connelly","Michael Connelly/Ciudad de huesos (92)"
"El senor de los anillos 01 - La Comu","Tolkien, J.R.R_","Tolkien, J.R.R_/El senor de los anillos 01 - La Comu (80)"
"Ciclo De La Puerta De La Muerte Vol.","Weis, Margarete y Hickman, Tracy","Weis, Margarete y Hickman, Tracy/Ciclo De La Puerta De La Muerte Vol. (82)"
