"libroId","fakeAuthor","fakeTitle","nCapitulos","author","title","idioma"
5,"pipo","El Coso",635,"Clara Sanchez","Lo que esconde tu nombre","ES"
7,"Michaels Helen","Radiólogo Radiografías Electrodos",478,"Cook, Robin","Cerebro","ES"
14,"Avenarius Bogdánov","Materialista Pág Idealismo",658,"()","V. I. Lenin. - Materialismo y e - ()","ES"
17,"Nubet Shepsenuré","Necrópolis Egipcio Sirio",966,"Cabanas, Antonio","El ladron de tumbas","ES"
22,"Trent Edgar","Asintió Monopatín Cadetes",534,"Michael Connelly","Ciudad de huesos","ES"
30,"Trancos Gandalf","Orcos Elfos Hobbit",961,"Tolkien, J.R.R_","El senor de los anillos 01 - La Comu","ES"
53,"Naoko Nagasawa","Chica Respondí Luciérnaga",597,"Haruki Murakami","Tokio Blues","ES"
60,"Filira Dionisos","Aulos Rey Dracmas",661,"Gillian Bradshaw","El contador de arena","ES"
61,"Vest Under","Corrompen Álamos Naufragios",23,"Garcia Montero, Luis","Habitaciones separadas","ES"
62,"Self Scarpetta","Mortis Señala Escáner",712,"Cornwell, Patricia D_","Dra Scarpetta 15 - El libro de los m","ES"
63,"Joranum Cleon","Joranumita Psicohistoria H",739,"Asimov, Isaac","Fundacion 7 - Hacia La Fundacion","ES"
64,"Sacedón Gárgoles","Juglares Alcalde Viajero",304,"Camilo Jose Cela","Nuevo viaje a la Alcarria","ES"
65,"Valencia Riquelme","Comunistas Anarquistas Comisario",319,"Aub, Max","El Laberinto Magico 05 - Campo del M","ES"
66,"Lucy Mina","Eslovacos Cochero Doctor",861,"Bram Stoker","Dracula","ES"
67,"Elfe Fredrik","Nazis Moto Prismáticos",635,"Clara Sanchez","Lo que esconde tu nombre","ES"
68,"Wanda Vr","Biólogo Sembradores Alienígenas",282,"Eduardo Gallego y Guillem Sanchez","La Cosecha del Centauro","ES"
69,"Salinas Guadalupana","Basílica Fray Obispo",451,"Benitez, J. J","El misterio de la Vigen de Guadalupe","ES"
70,"Sam Odell","Petróleo Mariscal Presidente",988,"Frederick Forsyth","El negociador","ES"
71,"Bane Haplo","Gegs Survisor Sartán",910,"Weis, Margarete y Hickman, Tracy","Ciclo De La Puerta De La Muerte Vol.","ES"
72,"Dante Claudia","Cinematográfica Dólares Rodaje",1021,"Mario Puzo","El Ultimo Don","ES"
73,"Ayala Cárceles","Floretes Florete Esgrima",424,"Arturo Perez-Reverte","El maestro de esgrima","ES"
74,"Sullivan Jannie","Bisturí Detective Sicarios",395,"James Patterson","Cross","ES"
75,"Curry Colonna","Asiente Cripta Tesina",682,"Caldwell y Thomason","El enigma del cuatro","ES"
